  Source.cpp
D:\source\repos\No Escape\Launch\Source.cpp(77,3): error C4235: nonstandard extension used: '__asm' keyword not supported on this architecture
D:\source\repos\No Escape\Launch\Source.cpp(78,4): error C2065: 'push': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(78,9): error C2146: syntax error: missing ';' before identifier 'offset'
D:\source\repos\No Escape\Launch\Source.cpp(78,9): error C2065: 'offset': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(78,16): error C2146: syntax error: missing ';' before identifier 'tmp1'
D:\source\repos\No Escape\Launch\Source.cpp(80,4): error C2146: syntax error: missing ';' before identifier 'push'
D:\source\repos\No Escape\Launch\Source.cpp(80,4): error C2065: 'push': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(80,9): error C2146: syntax error: missing ';' before identifier 'byte'
D:\source\repos\No Escape\Launch\Source.cpp(80,18): error C2143: syntax error: missing ';' before 'constant'
D:\source\repos\No Escape\Launch\Source.cpp(81,4): error C2146: syntax error: missing ';' before identifier 'push'
D:\source\repos\No Escape\Launch\Source.cpp(81,4): error C2065: 'push': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(81,9): error C2146: syntax error: missing ';' before identifier 'byte'
D:\source\repos\No Escape\Launch\Source.cpp(81,18): error C2143: syntax error: missing ';' before 'constant'
D:\source\repos\No Escape\Launch\Source.cpp(81,14): error C2086: 'byte ptr': redefinition
D:\source\repos\No Escape\Launch\Source.cpp(80,14): message : see declaration of 'ptr'
D:\source\repos\No Escape\Launch\Source.cpp(82,4): error C2146: syntax error: missing ';' before identifier 'push'
D:\source\repos\No Escape\Launch\Source.cpp(82,4): error C2065: 'push': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(82,9): error C2146: syntax error: missing ';' before identifier 'dword'
D:\source\repos\No Escape\Launch\Source.cpp(82,9): error C2065: 'dword': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(82,15): error C2146: syntax error: missing ';' before identifier 'ptr'
D:\source\repos\No Escape\Launch\Source.cpp(82,19): error C2143: syntax error: missing ';' before 'constant'
D:\source\repos\No Escape\Launch\Source.cpp(84,4): error C2146: syntax error: missing ';' before identifier 'call'
D:\source\repos\No Escape\Launch\Source.cpp(84,4): error C2065: 'call': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(84,9): error C2146: syntax error: missing ';' before identifier 'RtlAdjustPrivilege'
D:\source\repos\No Escape\Launch\Source.cpp(86,4): error C2146: syntax error: missing ';' before identifier 'push'
D:\source\repos\No Escape\Launch\Source.cpp(86,4): error C2065: 'push': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(86,9): error C2146: syntax error: missing ';' before identifier 'offset'
D:\source\repos\No Escape\Launch\Source.cpp(86,9): error C2065: 'offset': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(86,16): error C2146: syntax error: missing ';' before identifier 'tmp2'
D:\source\repos\No Escape\Launch\Source.cpp(88,4): error C2146: syntax error: missing ';' before identifier 'push'
D:\source\repos\No Escape\Launch\Source.cpp(88,4): error C2065: 'push': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(88,9): error C2146: syntax error: missing ';' before identifier 'dword'
D:\source\repos\No Escape\Launch\Source.cpp(88,9): error C2065: 'dword': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(88,15): error C2146: syntax error: missing ';' before identifier 'ptr'
D:\source\repos\No Escape\Launch\Source.cpp(88,19): error C2143: syntax error: missing ';' before 'constant'
D:\source\repos\No Escape\Launch\Source.cpp(89,4): error C2146: syntax error: missing ';' before identifier 'push'
D:\source\repos\No Escape\Launch\Source.cpp(89,4): error C2065: 'push': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(89,9): error C2146: syntax error: missing ';' before identifier 'dword'
D:\source\repos\No Escape\Launch\Source.cpp(89,9): error C2065: 'dword': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(89,15): error C2146: syntax error: missing ';' before identifier 'ptr'
D:\source\repos\No Escape\Launch\Source.cpp(89,19): error C2143: syntax error: missing ';' before 'constant'
D:\source\repos\No Escape\Launch\Source.cpp(90,4): error C2146: syntax error: missing ';' before identifier 'push'
D:\source\repos\No Escape\Launch\Source.cpp(90,4): error C2065: 'push': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(90,9): error C2146: syntax error: missing ';' before identifier 'dword'
D:\source\repos\No Escape\Launch\Source.cpp(90,9): error C2065: 'dword': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(90,15): error C2146: syntax error: missing ';' before identifier 'ptr'
D:\source\repos\No Escape\Launch\Source.cpp(90,19): error C2143: syntax error: missing ';' before 'constant'
D:\source\repos\No Escape\Launch\Source.cpp(91,4): error C2146: syntax error: missing ';' before identifier 'push'
D:\source\repos\No Escape\Launch\Source.cpp(91,4): error C2065: 'push': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(91,9): error C2146: syntax error: missing ';' before identifier 'dword'
D:\source\repos\No Escape\Launch\Source.cpp(91,9): error C2065: 'dword': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(91,15): error C2146: syntax error: missing ';' before identifier 'ptr'
D:\source\repos\No Escape\Launch\Source.cpp(91,19): error C2143: syntax error: missing ';' before 'constant'
D:\source\repos\No Escape\Launch\Source.cpp(93,4): error C2146: syntax error: missing ';' before identifier 'push'
D:\source\repos\No Escape\Launch\Source.cpp(93,4): error C2065: 'push': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(93,9): error C2146: syntax error: missing ';' before identifier 'dword'
D:\source\repos\No Escape\Launch\Source.cpp(93,9): error C2065: 'dword': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(93,15): error C2146: syntax error: missing ';' before identifier 'ptr'
D:\source\repos\No Escape\Launch\Source.cpp(93,19): error C2143: syntax error: missing ';' before 'constant'
D:\source\repos\No Escape\Launch\Source.cpp(95,4): error C2146: syntax error: missing ';' before identifier 'call'
D:\source\repos\No Escape\Launch\Source.cpp(95,4): error C2065: 'call': undeclared identifier
D:\source\repos\No Escape\Launch\Source.cpp(95,9): error C2146: syntax error: missing ';' before identifier 'NtRaiseHardError'
D:\source\repos\No Escape\Launch\Source.cpp(96,3): error C2143: syntax error: missing ';' before '}'
